횡단보도ID,lon,lat,읍면동명,LANES,ROAD_RANK,MAX_SPD,사고건수,추정AADT,행정동,노인비율
6704,126.99008509723535,37.56493851061279,저동2가,1.0,104,30.0,0,26875.559786532827,동화동,0.24080640259345557
6705,126.99018000692566,37.564666183430276,저동2가,1.0,104,30.0,0,26875.559786532827,동화동,0.24080640259345557
6706,126.99003333714116,37.565018604815414,저동2가,1.0,104,30.0,0,26875.559786532827,동화동,0.24080640259345557
6710,126.99020010404736,37.564876729895985,저동2가,1.0,104,30.0,0,26875.559786532827,동화동,0.24080640259345557
6725,126.99016831520687,37.56612626469077,을지로3가,3.0,104,50.0,0,26875.559786532827,을지로동,0.15585960737656157
6727,126.99014815906813,37.56636198158169,을지로3가,3.0,104,50.0,0,26875.559786532827,을지로동,0.15585960737656157
6734,126.992410813742,37.5662454336922,을지로3가,3.0,104,50.0,0,26875.559786532827,을지로동,0.15585960737656157
6735,126.99242803651663,37.56651548131065,을지로3가,3.0,104,50.0,1,26875.559786532827,을지로동,0.15585960737656157
6738,126.99280469211408,37.56623630423516,을지로3가,3.0,104,50.0,0,26875.559786532827,을지로동,0.15585960737656157
6739,126.9927960384099,37.56653381257707,을지로3가,3.0,104,50.0,0,26875.559786532827,을지로동,0.15585960737656157
6740,126.99273565879493,37.56657500241192,을지로3가,3.0,104,50.0,0,26875.559786532827,을지로동,0.15585960737656157
6745,126.99247981854964,37.56620195604105,을지로3가,3.0,104,50.0,0,26875.559786532827,을지로동,0.15585960737656157
6755,126.99246828253857,37.56655896594945,을지로3가,3.0,104,50.0,0,26875.559786532827,을지로동,0.15585960737656157
6769,126.99367626208449,37.561036239945096,필동2가,2.0,104,50.0,1,26875.559786532827,필동,0.18382769695824674
6770,126.99358712350325,37.56126051125376,필동1가,3.0,104,50.0,0,26875.559786532827,필동,0.18382769695824674
6775,126.99038455900536,37.561319795693805,충무로2가,1.0,104,30.0,0,26875.559786532827,명동,0.2357627618766598
6794,126.99316438243716,37.56280982333197,충무로3가,3.0,104,50.0,3,26875.559786532827,필동,0.18382769695824674
6795,126.99294589152055,37.56280523341744,충무로3가,3.0,104,50.0,0,26875.559786532827,필동,0.18382769695824674
6807,126.99026651357637,37.56268375077475,충무로2가,1.0,104,30.0,0,26875.559786532827,명동,0.2357627618766598
6822,126.99307231826803,37.56354214789024,초동,3.0,104,50.0,0,26875.559786532827,동화동,0.24080640259345557
6827,126.99007858364303,37.55985739842091,예장동,1.0,104,30.0,0,26875.559786532827,필동,0.18382769695824674
6829,126.9902539212283,37.56003820707347,남학동,2.0,104,50.0,0,26875.559786532827,을지로동,0.15585960737656157
6830,126.99019069947818,37.55985969632123,예장동,3.0,104,30.0,0,26875.559786532827,필동,0.18382769695824674
6831,126.99031427856596,37.56013890745755,남학동,1.0,104,50.0,0,26875.559786532827,을지로동,0.15585960737656157
6419,126.98186817925347,37.560005700173136,회현동2가,1.0,104,50.0,1,26875.559786532827,회현동,0.29465968586387437
6424,126.98178321984054,37.55473176223238,회현동1가,1.0,104,50.0,0,26875.559786532827,회현동,0.29465968586387437
6425,126.98095245465501,37.554781978889906,회현동1가,3.0,104,50.0,0,26875.559786532827,회현동,0.29465968586387437
6428,126.98061026488973,37.5552258988191,회현동1가,4.0,104,40.0,1,26875.559786532827,회현동,0.29465968586387437
6429,126.98190679118444,37.55487824742422,회현동1가,1.0,104,50.0,0,26875.559786532827,회현동,0.29465968586387437
6444,126.98806695161198,37.564425120932626,저동1가,1.0,104,30.0,0,26875.559786532827,동화동,0.24080640259345557
6445,126.98801231292785,37.564516656617535,저동1가,1.0,104,30.0,0,26875.559786532827,동화동,0.24080640259345557
6446,126.98771620455103,37.564445681734945,저동1가,2.0,104,50.0,2,26875.559786532827,동화동,0.24080640259345557
6447,126.98757246356506,37.56440676167316,저동1가,2.0,104,50.0,0,26875.559786532827,동화동,0.24080640259345557
6451,126.9880180404724,37.56465625755683,저동1가,1.0,104,30.0,0,26875.559786532827,동화동,0.24080640259345557
6452,126.98776502029612,37.5648026975528,저동1가,3.0,104,50.0,0,26875.559786532827,동화동,0.24080640259345557
6453,126.98762127291863,37.56479810550779,저동1가,3.0,104,50.0,0,26875.559786532827,동화동,0.24080640259345557
6456,126.98747465212915,37.564784358861445,저동1가,2.0,104,50.0,0,26875.559786532827,동화동,0.24080640259345557
6459,126.98874252380169,37.56469523387767,저동2가,1.0,104,30.0,0,26875.559786532827,동화동,0.24080640259345557
6465,126.98779357836187,37.56597671647296,을지로2가,3.0,104,50.0,0,26875.559786532827,을지로동,0.15585960737656157
6467,126.98943803178739,37.56633846275766,을지로2가,3.0,104,50.0,0,26875.559786532827,을지로동,0.15585960737656157
6471,126.98780214442543,37.566338305073984,을지로2가,3.0,104,50.0,0,26875.559786532827,을지로동,0.15585960737656157
6473,126.98725876376302,37.566347401801345,을지로2가,3.0,104,50.0,0,26875.559786532827,을지로동,0.15585960737656157
6474,126.98743119010555,37.566793683572385,을지로2가,1.0,104,30.0,0,26875.559786532827,을지로동,0.15585960737656157
6477,126.98727895780077,37.56594233419557,을지로2가,3.0,104,50.0,0,26875.559786532827,을지로동,0.15585960737656157
6480,126.98558556796158,37.56599935283694,을지로2가,3.0,104,50.0,1,26875.559786532827,을지로동,0.15585960737656157
6481,126.98566602435282,37.56622821561848,을지로2가,1.0,104,30.0,0,26875.559786532827,을지로동,0.15585960737656157
6484,126.98581971935492,37.56685300278485,장교동,1.0,104,30.0,0,26875.559786532827,을지로동,0.15585960737656157
6485,126.98581399617986,37.56671111326219,을지로2가,1.0,104,30.0,0,26875.559786532827,을지로동,0.15585960737656157
6486,126.98568605751494,37.56670880929026,을지로2가,1.0,104,30.0,0,26875.559786532827,을지로동,0.15585960737656157
6493,126.98560525566046,37.56818084639509,삼각동,2.0,104,50.0,0,26875.559786532827,을지로동,0.15585960737656157
6494,126.98574617836654,37.56795429911271,수하동,1.0,104,30.0,0,26875.559786532827,을지로동,0.15585960737656157
6495,126.98747411178691,37.567906435976816,장교동,2.0,104,30.0,0,26875.559786532827,을지로동,0.15585960737656157
6496,126.9858956844503,37.56794516295204,장교동,1.0,104,30.0,0,26875.559786532827,을지로동,0.15585960737656157
6497,126.98786510363107,37.568025480328465,장교동,2.0,104,50.0,0,26875.559786532827,을지로동,0.15585960737656157
6498,126.9878622452553,37.56792249622332,장교동,2.0,104,50.0,0,26875.559786532827,을지로동,0.15585960737656157
7001,126.99552155924947,37.566649518175105,을지로4가,3.0,104,50.0,0,26875.559786532827,을지로동,0.15585960737656157
7002,126.9955388231,37.56642066585761,을지로4가,3.0,104,50.0,1,26875.559786532827,을지로동,0.15585960737656157
7007,126.99743632834526,37.56674798205642,을지로4가,3.0,104,50.0,0,26875.559786532827,을지로동,0.15585960737656157
7008,126.99744496166535,37.56650768662758,을지로4가,3.0,104,50.0,1,26875.559786532827,을지로동,0.15585960737656157
7012,126.99819532345471,37.567361322007045,주교동,3.0,104,50.0,1,26875.559786532827,을지로동,0.15585960737656157
7018,126.99806023018094,37.56602710707838,을지로4가,3.0,104,50.0,1,26875.559786532827,을지로동,0.15585960737656157
7020,126.99832473113545,37.566024822597996,을지로4가,3.0,104,50.0,1,26875.559786532827,을지로동,0.15585960737656157
7066,126.9960867699752,37.561552980488855,필동2가,1.0,104,30.0,0,26875.559786532827,필동,0.18382769695824674
